118,149,78
180,190,175
165,179,171
119,152,148
145,164,166
165,166,156
152,147,121
130,126,107
106,140,132
129,164,176
135,176,192
134,173,186
110,136,147
113,111,93
142,150,109
122,134,108
179,183,160
180,193,174
157,178,103
101,131,80
132,151,136
178,192,188
163,179,173
27,52,33
50,82,23
70,97,43
84,110,54
111,158,69
121,151,76
103,125,65
69,90,46
94,118,56
117,139,58
105,128,51
130,163,103
77,121,41
92,137,51
92,137,52
81,124,31
93,132,40
99,138,63
100,141,50
76,106,47
92,136,54
89,123,54
87,122,39
86,125,40
117,144,67
100,129,56
71,112,32
92,145,57
73,114,50
197,193,144
108,114,62
191,173,132
198,206,197
139,143,133
145,155,143
147,150,138
99,116,93
112,120,98
129,123,103
210,175,160
201,188,158
34,82,10
134,156,122
162,181,183
123,147,143
126,157,153
153,165,158
188,195,170
94,104,67
137,172,175
122,163,184
130,167,175
148,175,177
81,87,61
110,122,90
129,134,107
159,160,151
191,201,198
201,211,201
131,148,81
109,161,90
75,115,118
233,236,236
150,160,155
55,77,39
94,133,64
83,109,55
103,123,62
72,111,33
130,153,76
139,161,89
88,117,53
92,131,41
103,134,47
95,122,42
138,169,112
125,160,92
79,120,31
71,112,35
131,169,71
114,141,59
89,122,32
108,145,43
81,105,54
100,145,54
83,124,52
82,116,44
98,125,58
123,147,60
112,146,70
72,110,48
81,123,53
48,94,26
100,111,65
134,141,111
141,146,117
94,105,86
118,122,105
156,144,136
142,143,124
81,104,71
122,115,87
131,92,70
214,184,164
227,183,174
42,75,22
119,147,102
192,193,200
119,154,143
122,150,147
157,176,176
170,178,145
102,117,82
132,156,153
141,170,176
133,150,134
108,122,111
104,117,89
116,131,100
112,126,109
133,141,128
132,146,136
134,138,119
66,73,35
135,185,83
90,134,132
177,182,190
149,172,165
70,105,54
72,119,47
64,90,43
82,88,52
89,112,66
95,122,57
116,133,75
94,119,55
106,142,42
91,129,37
77,114,42
124,151,104
112,147,82
92,134,47
66,100,32
98,131,33
131,154,57
116,142,64
74,98,60
51,82,29
79,117,52
89,133,55
53,82,33
113,129,70
124,149,64
98,128,51
81,106,53
67,98,53
51,96,38
91,120,78
75,98,70
78,116,75
83,121,72
81,101,64
130,141,113
82,106,69
43,51,21
124,100,79
131,87,69
182,143,116
184,180,166
81,99,62
185,192,163
138,154,137
155,170,162
125,153,159
139,161,148
156,171,83
126,153,69
131,148,133
114,127,112
128,135,102
112,122,102
118,137,126
120,143,131
145,167,161
131,149,146
111,127,100
89,95,55
105,107,73
120,149,63
77,129,77
106,129,115
115,142,136
101,159,67
65,117,43
48,75,30
69,68,47
46,66,47
109,147,90
76,92,59
74,95,57
97,128,43
77,119,34
66,105,51
114,142,96
88,122,61
70,112,27
66,105,31
105,140,49
141,169,73
80,107,51
96,131,52
107,145,67
62,95,49
61,96,34
52,74,44
106,129,66
104,136,60
132,154,75
126,144,80
78,103,60
36,78,31
57,99,43
48,101,35
66,115,40
52,101,27
66,104,52
62,79,35
98,87,62
143,114,103
123,97,86
148,145,125
154,175,171
146,176,200
132,161,158
138,149,125
173,156,127
172,136,142
109,154,154
130,149,154
152,165,86
127,158,58
82,91,66
150,160,142
120,138,108
124,141,124
117,140,136
126,150,150
132,155,160
141,169,172
96,116,83
88,99,52
119,116,84
98,112,64
72,134,35
94,134,81
128,141,135
71,128,44
79,132,48
72,119,52
57,79,36
48,73,49
165,198,143
144,175,132
30,56,31
64,96,34
52,99,34
40,82,30
92,130,64
68,99,51
48,85,26
94,132,63
96,127,47
87,110,32
89,116,53
104,142,66
85,120,37
82,113,51
86,124,53
53,72,39
70,94,37
86,115,42
107,132,64
109,140,68
106,139,81
55,110,57
49,98,39
60,101,33
68,115,41
81,104,46
105,121,83
116,116,94
151,114,89
130,115,99
133,146,145
153,185,185
134,178,187
157,185,206
140,160,177
119,131,113
181,176,143
150,121,121
127,156,150
114,143,152
172,187,175
142,157,100
120,126,101
145,157,142
125,144,122
125,145,136
121,150,153
128,162,158
135,158,152
126,138,107
96,103,64
123,133,78
134,136,93
120,140,81
59,116,34
58,112,27
132,154,128
57,117,43
63,113,43
97,153,67
74,137,55
47,87,49
145,169,125
152,187,135
49,82,45
32,67,37
44,94,38
73,114,39
105,152,68
35,67,16
63,92,39
83,124,42
82,118,41
114,148,63
121,159,54
81,116,39
132,165,74
105,139,51
124,160,66
91,120,51
120,138,78
113,131,69
81,111,52
87,127,60
65,113,48
53,109,50
56,111,49
51,89,26
92,108,61
191,200,156
140,138,120
99,114,122
147,151,142
120,146,157
136,188,193
110,146,154
134,172,171
122,142,138
155,163,161
155,165,150
181,191,167
161,155,143
132,157,155
117,149,138
139,163,177
176,182,172
138,153,125
121,141,125
126,150,146
130,155,159
120,150,152
101,125,126
82,81,45
101,84,30
108,133,113
133,158,117
159,170,115
125,148,90
85,136,47
96,144,27
107,140,82
88,142,60
61,115,43
87,140,51
57,124,46
39,83,47
78,106,58
59,103,34
80,123,54
28,68,28
77,127,48
115,171,56
102,150,51
108,143,58
115,164,48
121,164,55
97,143,44
117,160,54
112,151,57
98,134,49
110,144,42
118,151,61
114,145,48
116,150,61
99,110,59
101,122,64
65,89,44
64,93,46
48,97,46
36,81,31
80,133,58
68,109,38
95,114,73
61,94,31
100,122,68
95,119,98
116,150,143
96,152,175
103,117,117
90,105,96
178,190,180
142,151,116
175,177,147
169,179,156
127,153,123
177,190,167
124,145,145
126,150,142
122,154,148
140,159,153
187,198,164
87,105,80
128,148,146
123,145,136
110,130,112
157,171,179
80,94,58
141,159,144
142,180,205
124,153,138
133,150,98
103,124,80
76,128,31
88,135,32
107,134,72
83,138,58
58,111,42
66,117,45
60,117,48
48,110,47
51,96,36
108,156,70
109,165,72
37,73,33
115,163,73
117,164,51
92,137,45
103,146,43
124,165,63
122,163,49
98,139,49
92,129,44
102,140,46
91,131,43
121,156,62
123,154,52
121,155,58
82,122,48
43,88,31
111,150,69
100,133,63
70,111,42
99,136,59
79,117,46
101,147,59
114,154,69
90,125,53
61,107,34
68,112,50
78,96,54
108,119,106
119,132,121
103,104,89
44,46,32
136,145,107
169,169,137
186,188,153
161,169,142
112,133,101
175,191,166
97,124,128
125,153,149
122,152,149
124,159,156
196,194,173
89,102,53
155,163,152
125,156,153
118,155,151
131,169,178
135,176,196
137,178,201
135,159,159
168,178,158
98,123,69
87,116,60
77,125,44
78,127,20
112,146,66
73,127,53
38,87,36
44,96,35
78,116,67
45,80,35
80,137,50
88,141,55
79,135,41
53,97,25
107,155,64
113,157,61
74,118,30
97,138,50
114,153,57
115,150,57
81,121,33
131,170,59
70,102,37
80,120,31
114,151,53
119,152,54
128,163,67
81,119,44
70,108,55
111,156,68
103,154,61
